,FFP_TIER,FLIGHT_COUNT,LAST_TO_END,SEG_KM_SUM,EXCHANGE_COUNT,Points_Sum,AGE,ffp_year
49,5,70,304,219282,8,199386,49,2010
50,6,189,1,235687,5,262134,40,2008
51,6,87,4,132283,3,206809,51,2012
52,6,29,11,211369,7,226692,46,2006
53,5,48,1,130135,3,195368,54,2007
54,6,68,1,135374,2,201197,49,2007
55,6,111,4,216560,19,272042,41,2004
56,6,69,22,131660,6,199477,38,2007
57,6,126,4,204371,2,234654,48,2008
58,6,55,15,153868,0,177562,42,2004
59,5,76,21,214921,5,190530,59,2005
60,6,68,15,127335,3,186501,48,2005
61,6,77,1,136121,4,195217,60,2004
62,6,84,6,186821,1,204668,52,2010
63,6,96,14,204612,12,259585,31,2011
64,6,30,8,164001,2,219035,44,2010
65,6,85,19,121097,8,195796,53,2005
66,5,32,88,182563,8,206462,39,2007
67,5,34,19,170121,10,201302,53,2010
68,6,197,1,275800,0,134178,30,2010
69,6,30,7,184194,3,212047,43,2008
70,6,18,62,209911,2,182497,33,2012
71,6,64,19,137636,9,202596,55,2009
72,6,149,4,219108,4,170799,37,2011
73,6,61,13,143186,3,170871,47,2007
74,5,36,36,209839,2,181775,28,2010
75,6,22,22,170406,0,208960,45,2010
76,6,23,29,169224,1,220828,46,2013
77,4,16,18,163191,3,206055,44,2011
78,6,102,8,140220,1,258781,42,2010
79,5,81,6,159255,20,224076,47,2005
80,6,30,6,208687,4,177837,37,2012
81,5,127,12,170611,7,210483,53,2006
82,6,56,2,116728,5,164783,44,2008
83,6,79,1,208797,2,154520,67,2012
84,6,97,9,155881,3,210280,47,2005
85,6,158,2,205159,3,167943,57,2004
86,6,64,7,115300,0,177907,55,2006
87,6,51,13,137500,1,175423,47,2010
88,6,29,144,157056,6,196377,35,2007
89,6,69,1,114077,10,171652,70,2007
90,6,88,15,122619,6,203485,40,2008
91,6,42,15,162453,4,198945,54,2011
92,6,129,10,109813,8,209250,43,2007
93,6,67,14,123464,0,167126,46,2006
94,5,12,53,146784,0,208118,41,2010
95,6,100,4,162250,2,234787,40,2004
96,6,69,11,118726,14,189498,66,2005
97,6,17,34,125349,2,166984,55,2011
98,6,12,9,146784,2,195408,39,2004
99,6,54,4,144562,0,138647,49,2012
100,6,79,21,123985,7,214323,51,2008
101,6,87,5,105119,9,155309,56,2008
102,5,53,17,144682,12,143172,41,2012
103,6,92,17,134823,13,213043,47,2007
104,6,48,11,150537,5,220976,55,2010
105,6,90,3,108184,6,154547,48,2005
106,6,56,9,104663,0,150939,61,2009
107,6,146,4,191328,8,181374,36,2005
108,6,35,15,167150,0,151293,33,2011
109,6,33,63,174046,3,164243,55,2011
110,6,142,7,177357,7,172256,45,2005
111,6,31,44,204438,3,162728,30,2010
112,6,53,29,102999,5,159103,42,2006
113,5,21,14,159605,7,174849,53,2007
114,4,16,27,195712,0,133754,49,2012
115,6,85,3,155704,15,182967,43,2004
116,6,71,22,119961,6,156664,59,2004
117,6,130,2,167593,2,258114,42,2008
118,6,89,4,149557,3,295393,40,2010
119,6,83,11,103087,11,165577,59,2005
120,6,99,2,162215,9,200588,36,2004
121,4,40,27,198627,2,152573,54,2005
122,6,52,11,99524,5,144914,48,2008
123,6,65,10,119794,12,216228,49,2005
124,5,34,3,151642,1,186619,48,2005
125,6,83,6,149993,0,165704,41,2006
126,5,65,24,109089,0,154356,46,2011
127,6,18,23,146238,2,180183,47,2012
128,6,66,4,102689,1,174814,47,2007
129,6,52,2,105167,2,155485,51,2006
130,6,27,38,182561,0,122509,34,2011
131,6,193,1,209912,17,242611,66,2004
132,6,65,6,184730,1,153208,50,2012
133,4,14,59,144708,2,179310,62,2012
134,5,24,11,213058,2,111104,63,2009
135,6,89,17,177556,0,141293,44,2010
136,6,57,8,98104,10,155326,50,2008
137,6,101,12,140188,9,181303,42,2009
138,6,19,16,155552,0,139379,33,2013
139,5,95,24,140931,9,142516,47,2006
140,6,85,7,97855,3,194017,51,2008
141,6,108,22,169746,12,192071,47,2004
142,6,64,4,97250,15,153682,51,2004
143,6,113,3,204853,3,170970,53,2005
144,6,31,1,95766,13,158587,56,2009
145,6,79,5,129119,6,160671,56,2005
146,5,109,17,163010,1,144137,39,2012
147,4,19,18,201613,3,81412,52,2009
148,6,120,25,172352,13,181078,31,2009
149,5,45,1,116917,1,144550,47,2006
150,4,19,135,136374,1,160482,51,2007
151,6,22,184,135717,5,166575,78,2010
152,6,80,15,105118,0,141978,43,2009
153,6,82,6,106666,5,141315,51,2006
154,5,90,12,179472,7,198691,28,2010
155,6,17,157,143287,2,160716,37,2010
156,5,39,9,97116,0,161225,49,2006
157,6,102,11,102961,10,198202,46,2008
158,5,90,11,158149,3,189684,45,2004
159,6,125,7,176585,14,155391,38,2005
160,6,77,23,94142,0,138945,61,2007
161,6,79,6,157844,12,221619,46,2004
162,6,116,13,165365,1,144290,39,2006
163,6,58,15,91515,7,137940,32,2011
164,5,109,8,144321,11,164372,49,2006
165,6,180,9,182540,4,142631,48,2006
166,6,103,1,218087,6,169772,45,2010
167,5,107,8,155834,1,144683,56,2005
168,5,14,121,125796,3,156566,49,2011
169,6,149,2,155588,5,136195,30,2010
170,5,76,49,94185,0,129029,41,2011
171,6,55,3,94577,0,200391,64,2007
172,6,80,4,92022,4,132796,45,2011
173,6,40,16,139742,6,156893,53,2005
174,6,142,7,183472,5,133052,43,2006
175,6,14,23,126850,0,165825,56,2013
176,6,24,30,125340,3,157710,36,2011
177,5,13,18,126495,3,169574,33,2011
178,6,85,2,151736,10,199762,47,2006
179,6,68,3,117537,0,123410,49,2005
180,6,116,8,161730,6,162718,45,2005
181,6,123,2,89350,2,125014,51,2012
182,6,47,17,91018,7,127625,50,2007
183,4,14,95,123662,2,152002,35,2010
184,5,49,107,90602,0,125550,74,2006
185,5,86,2,157799,22,147720,39,2005
186,5,60,11,106278,0,125738,47,2008
187,6,110,4,166843,8,148129,44,2005
188,6,15,179,183480,0,113656,40,2010
189,6,67,2,119347,0,134417,47,2005
190,6,51,1,99034,3,136638,39,2010
191,6,74,69,96520,5,137008,55,2010
192,6,12,27,121632,0,152324,51,2010
193,5,59,6,85171,10,121759,47,2009
194,6,120,18,176951,12,144381,36,2009
195,6,60,3,88428,16,138499,49,2008
196,6,57,1,90553,0,148181,57,2006
197,5,43,57,195034,0,105421,54,2011
198,6,113,2,151060,3,154907,47,2008
199,5,42,23,165589,0,97974,49,2005
200,6,58,16,94554,3,133792,46,2005
201,4,16,30,184227,0,122503,48,2005
202,6,122,18,180074,11,130785,64,2004
203,6,72,6,91164,5,140265,47,2005
204,6,113,10,121394,2,204327,63,2009
205,6,77,2,157206,3,148513,49,2005
206,5,57,10,91658,0,136156,44,2008
207,5,16,13,115401,1,144812,66,2012
208,6,77,9,151637,13,176266,38,2009
209,6,88,3,117157,3,145486,38,2005
210,5,13,51,137604,4,142824,45,2007
211,6,124,3,113615,0,130909,68,2005
212,6,69,31,147549,5,133546,65,2005
213,6,66,1,86430,2,140439,60,2008
214,5,26,102,178921,1,107965,56,2010
215,6,59,4,94946,5,148754,40,2009
216,6,125,1,189177,2,116402,48,2007
217,5,97,11,171544,4,108829,33,2009
218,5,57,3,144505,0,122962,36,2006
219,6,64,5,262290,10,122797,27,2011
220,6,49,114,88903,0,127447,60,2004
221,6,58,2,84353,3,136439,56,2007
222,6,136,5,145540,9,138865,42,2005
223,5,68,4,148879,0,106281,34,2010
224,5,71,4,180226,2,128372,47,2008
225,6,116,16,130636,6,115574,55,2006
226,6,110,1,172640,1,134862,53,2007
227,5,105,12,145253,9,128699,32,2008
228,6,52,21,83356,1,122727,62,2009
229,6,106,3,167199,7,110162,53,2005
230,6,11,178,112128,1,159477,40,2005
231,6,59,13,92635,8,124552,44,2010
232,5,59,18,145433,3,162643,53,2007
233,6,83,26,94441,2,142357,44,2006
234,4,10,317,122320,6,140743,30,2012
235,6,116,1,136228,0,142040,39,2008
236,6,95,2,138873,10,158027,36,2005
237,6,79,6,151183,0,126562,47,2011
238,6,76,7,86061,0,124745,55,2006
239,6,100,1,91727,9,124736,56,2007
240,6,107,1,165304,8,112666,37,2004
241,4,25,290,109336,4,139361,66,2006
242,6,114,13,151625,2,118690,38,2008
243,5,57,9,84080,5,120635,47,2010
244,6,76,22,119514,6,122265,38,2007
245,6,11,99,111496,0,145681,41,2012
246,5,43,30,94144,0,113209,53,2006
247,5,20,22,148827,0,98590,38,2011
248,6,53,32,85000,0,132653,46,2007
249,6,56,4,82981,14,134430,41,2005
250,6,84,2,140535,4,124270,50,2011
251,6,111,6,141864,7,131026,37,2008
252,6,109,18,126167,3,127254,35,2011
253,5,60,5,98083,11,114233,44,2006
254,5,61,3,161499,2,118004,41,2010
255,6,43,9,93447,0,139674,55,2008
256,6,149,5,157683,7,128224,40,2006
257,6,43,4,111807,1,114036,43,2010
258,4,56,83,114358,3,121166,54,2010
259,6,94,3,109142,3,121796,51,2005
260,6,84,13,139338,5,118260,50,2005
261,5,16,9,107047,0,128940,47,2012
262,6,128,17,131315,12,133895,44,2006
263,6,124,2,130776,11,111357,39,2006
264,6,111,4,130622,4,115155,47,2011
265,6,77,1,134838,8,122278,45,2009
266,5,42,22,77936,5,112088,57,2006
267,6,124,1,160524,2,110203,42,2009
268,5,19,6,96503,8,136674,46,2011
269,4,53,45,134627,8,127389,48,2010
270,6,61,1,83245,2,119626,46,2011
271,6,17,1,105377,2,159060,61,2009
272,6,48,4,119036,3,160863,52,2011
273,6,26,22,94249,0,133391,66,2006
274,6,43,31,79426,5,118207,67,2006
275,4,87,61,115134,3,125094,37,2009
276,6,114,1,124499,8,127374,44,2010
277,6,54,20,75651,2,112327,41,2010
278,5,68,20,163454,10,114009,35,2009
279,6,112,6,134757,3,116267,41,2007
280,5,73,13,163958,1,121394,47,2008
281,6,49,38,80641,2,109619,47,2007
282,5,40,2,127004,5,150496,63,2012
283,6,82,5,135413,0,116936,40,2005
284,6,154,1,129582,6,132891,42,2009
285,5,58,13,145294,2,154953,44,2005
286,5,52,2,97731,1,108555,50,2008
287,6,43,8,78765,2,120960,61,2010
288,6,105,4,138593,1,136997,35,2009
289,6,97,4,116461,4,114037,51,2006
290,6,17,112,121870,5,137804,49,2010
291,4,32,59,77106,0,108091,62,2010
292,5,37,5,119320,8,154506,40,2010
293,5,86,5,159612,4,96122,44,2006
294,6,62,13,139995,0,93217,60,2012
295,5,67,11,127081,0,120524,49,2010
296,6,84,8,129836,8,115208,39,2006
297,6,117,8,132853,2,135113,45,2009
298,6,122,2,129272,8,128331,48,2009
299,5,87,24,131029,1,129028,41,2006
300,6,73,2,75413,17,109357,51,2009
301,6,97,8,113939,6,109559,43,2005
302,5,93,5,150612,4,106081,40,2010
303,6,83,8,134621,6,195726,49,2010
304,6,105,11,145865,2,123198,45,2010
305,5,27,56,164336,0,82693,40,2007
306,5,24,31,110964,0,120352,41,2005
307,6,137,2,122439,6,131242,53,2006
308,6,57,22,90144,0,116260,55,2012
309,5,50,7,89115,12,253332,44,2009
310,4,45,8,139898,0,108694,46,2011
311,6,109,1,122024,4,109570,38,2011
312,6,46,18,80830,0,105241,44,2009
313,6,77,17,139876,11,190868,38,2008
314,6,60,5,154736,3,125963,45,2006
315,6,66,6,151383,1,111918,57,2012
316,5,77,4,144030,3,104047,38,2007
317,6,77,16,80208,4,125917,46,2006
318,6,28,13,77108,0,104698,47,2010
319,4,34,113,143761,3,103589,48,2011
320,5,62,9,141413,0,130961,48,2007
321,6,53,34,73717,0,110170,44,2010
322,6,37,4,72741,0,110980,41,2011
323,5,94,65,126174,0,107518,37,2007
324,6,48,10,74411,4,113717,53,2007
325,6,52,5,73647,0,108415,40,2010
326,5,52,1,135689,0,118323,46,2011
327,5,59,33,127314,4,98386,40,2005
328,5,72,9,149171,2,103324,48,2008
329,5,47,13,76753,10,107098,47,2008
330,6,107,9,169750,6,83578,43,2004
331,6,96,23,136246,9,102555,37,2011
332,5,132,5,151273,2,102474,55,2012
333,6,168,2,130985,5,135829,46,2011
334,5,49,17,125237,0,125667,35,2011
335,4,12,136,103960,4,134703,0,2004
336,4,36,13,109695,7,179174,46,2006
337,6,21,77,137610,1,107759,41,2006
338,5,60,24,137654,0,92496,35,2009
339,6,84,33,117382,0,113250,37,2004
340,6,59,7,97219,0,103737,45,2006
341,6,118,1,139566,4,125292,36,2006
342,6,49,27,78417,0,107578,36,2008
343,5,74,4,113789,0,107945,54,2012
344,5,64,7,139827,2,102891,36,2011
345,6,47,19,71121,2,98729,51,2007
346,6,46,1,71012,7,108871,66,2006
347,6,115,7,115562,2,111679,37,2007
348,5,28,13,72232,0,108013,51,2010
349,5,12,351,100421,4,128179,45,2010
350,5,65,8,93221,3,101636,54,2006
351,6,24,66,183418,0,118071,46,2009
352,5,50,4,135574,0,95632,38,2008
353,6,98,5,141053,2,108302,37,2007
354,5,46,1,73338,5,106539,62,2005
355,4,61,17,114031,2,110505,43,2009
356,4,28,84,82659,0,109303,41,2011
357,5,28,68,73852,6,95409,57,2012
358,4,17,15,104641,2,130467,61,2012
359,6,51,1,72274,0,103673,57,2006
360,6,85,16,104969,0,117399,46,2008
361,6,128,2,147767,0,105816,39,2006
362,4,23,14,157186,0,78330,48,2012
363,5,78,2,121231,4,105849,47,2008
364,5,67,1,135439,8,105531,35,2009
365,6,96,1,131739,2,101689,52,2005
366,5,118,20,143796,1,102158,46,2011
367,4,86,48,128754,4,99179,34,2012
368,5,36,5,124032,0,118753,38,2012
369,5,10,83,99312,9,122889,48,2009
370,6,34,1,70486,0,97520,38,2006
371,5,23,2,74910,0,92357,45,2006
372,5,76,5,138952,3,102498,36,2007
373,6,45,19,145724,0,83520,42,2009
374,6,111,18,145458,4,125285,46,2005
375,6,47,25,82382,3,108067,51,2006
376,6,84,1,75766,6,117216,50,2006
377,6,134,1,116627,6,118238,42,2005
378,5,46,3,130782,1,84156,34,2006
379,5,96,6,135009,2,106832,48,2004
380,5,16,94,107690,3,100193,42,2011
381,6,83,11,133367,9,109371,53,2005
382,6,93,3,109943,2,104952,48,2005
383,4,13,6,159016,0,83156,47,2011
384,5,36,2,113253,4,121007,63,2012
385,5,73,11,123568,5,137760,42,2006
386,6,98,1,76759,0,115510,58,2012
387,6,116,3,140571,6,102908,45,2006
388,6,61,17,81113,0,105272,59,2005
389,6,85,13,70965,2,113020,55,2010
390,5,48,10,68459,0,100927,60,2007
391,6,104,6,137698,4,105830,46,2007
392,6,57,12,84129,0,97939,50,2006
393,6,43,9,130985,0,95764,52,2006
394,6,101,12,117880,0,126073,44,2011
395,5,69,2,141164,3,88172,48,2007
396,6,71,5,70069,0,98417,51,2007
397,6,124,5,118049,7,168338,41,2009
398,6,86,18,89195,0,107630,39,2007
399,6,82,12,120536,4,145838,41,2007
400,6,122,1,137879,5,162307,43,2011
401,4,18,20,136876,0,72359,43,2012
402,6,39,22,70792,0,102422,45,2005
403,6,83,4,112709,0,132854,46,2010
404,6,81,1,99888,10,111475,50,2007
405,5,66,34,111545,2,115313,35,2008
406,5,46,41,71622,0,96427,41,2005
407,6,75,3,131146,9,93358,44,2007
408,5,69,79,126180,2,99429,47,2005
409,6,45,10,68136,0,102753,62,2009
410,6,36,4,66829,2,127594,69,2007
411,5,106,1,130691,4,108476,37,2004
412,5,64,19,66612,3,92831,61,2010
413,5,61,6,132797,0,52481,58,2011
414,5,67,1,123556,0,104692,40,2012
415,5,52,30,125190,10,93650,52,2006
416,4,21,13,138363,0,71545,53,2011
417,6,100,9,116315,0,100182,45,2011
418,6,119,1,100147,9,141476,52,2008
419,6,79,20,74503,15,108226,55,2005
420,6,101,4,118160,14,105795,32,2009
421,6,116,5,129478,4,104283,46,2005
422,5,42,85,74368,3,82194,46,2011
423,6,82,3,126149,5,91963,41,2005
424,6,96,11,134194,2,188675,39,2005
425,6,79,11,124218,0,100986,57,2008
426,6,133,4,143216,14,111094,40,2006
427,5,73,15,134897,4,92531,47,2009
428,4,58,1,122349,2,95493,41,2006
429,5,19,135,130168,2,92321,50,2008
430,6,62,1,76356,1,112509,47,2013
431,5,46,5,67761,6,88770,37,2007
432,6,38,16,66550,2,79591,52,2011
433,5,65,23,112320,0,103579,40,2010
434,6,15,13,99645,0,132586,40,2012
435,5,93,2,127824,6,98390,41,2010
436,4,13,6,147883,1,55824,55,2008
437,5,60,4,118514,3,101482,40,2007
438,5,93,2,117159,1,104959,53,2010
439,6,83,15,134851,3,110860,54,2011
440,4,44,16,108388,0,102118,49,2012
441,5,62,8,112125,6,104673,38,2005
442,6,89,2,78410,5,109160,46,2010
443,5,78,2,121245,5,103081,37,2005
444,6,39,26,70142,5,98748,47,2007
445,6,101,14,102834,8,126539,40,2009
446,5,44,17,65769,0,97082,49,2010
447,5,31,32,69453,6,101413,70,2009
448,6,75,7,122158,3,91473,60,2009
449,6,93,18,106705,3,103575,46,2007
450,5,54,20,71496,10,92332,58,2010
451,6,73,18,76834,15,92085,50,2005
452,6,70,2,98334,2,95256,47,2005
453,6,36,14,102876,0,83035,46,2008
454,6,45,5,67936,4,95681,54,2008
455,6,97,14,66431,3,98012,40,2008
456,4,107,10,132823,5,95974,54,2009
457,5,123,8,111589,3,116742,57,2008
458,5,38,29,67361,1,97064,45,2011
459,6,98,13,129338,4,98661,42,2007
460,5,33,7,65345,0,99217,53,2007
461,5,39,6,68043,0,92074,33,2008
462,6,72,8,73670,0,102737,44,2010
463,6,83,6,126476,5,103944,44,2010
464,5,66,4,121756,8,132389,39,2005
465,4,46,37,120983,5,112148,55,2008
466,6,65,9,102504,7,94407,39,2004
467,6,99,5,123899,1,93384,49,2007
468,5,54,4,64453,0,94769,50,2009
469,6,65,16,107397,8,118859,38,2007
470,4,27,243,100143,1,111691,41,2006
471,6,36,21,72186,5,90987,53,2009
472,6,61,20,71752,0,103704,28,2011
473,5,49,32,65717,1,93153,39,2006
474,6,46,3,71260,7,101654,56,2008
475,5,103,6,125149,7,95680,55,2008
476,6,52,73,76072,1,87859,47,2007
477,6,36,9,68799,3,111951,47,2012
478,5,37,12,66530,1,92776,49,2009
479,6,100,14,64900,2,99761,42,2005
480,6,51,7,87589,5,175628,39,2007
481,5,69,12,125139,0,84879,37,2006
482,5,82,8,109233,0,93666,47,2012
483,5,13,17,95577,0,106554,43,2012
484,6,65,25,74458,3,95706,56,2011
485,5,45,5,74389,0,91289,48,2012
486,6,118,2,137477,0,83722,41,2007
487,5,75,11,127816,0,89559,56,2008
488,5,56,1,117444,7,94736,37,2011
489,5,73,6,128233,0,83227,53,2007
490,5,66,17,82682,1,93530,52,2010
491,5,21,6,139888,2,71428,45,2011
492,5,78,4,114244,6,100622,54,2008
493,6,90,2,122350,0,89159,60,2008
494,5,80,8,120362,4,107309,46,2004
495,4,20,85,121103,1,87682,43,2012
496,4,80,31,117968,3,108712,34,2005
497,5,95,34,104659,2,97837,38,2005
498,6,99,2,117708,1,89168,59,2006
499,6,90,17,128188,0,97748,57,2007
500,5,33,1,63453,3,94159,49,2007
501,5,73,12,110537,1,89866,49,2005
502,6,127,18,124500,8,90456,40,2006
503,4,83,158,114627,1,87371,31,2011
504,6,27,8,90731,0,98430,48,2011
505,5,97,1,149015,3,88729,33,2010
506,6,77,7,104572,6,106708,38,2006
507,4,19,65,86805,0,110137,42,2009
508,4,13,41,125853,1,77676,38,2007
509,6,139,1,129859,4,159864,54,2005
510,6,86,6,113677,1,102405,35,2005
511,5,82,2,123788,1,114156,57,2005
512,6,41,31,91797,4,91678,45,2006
513,5,72,2,120888,4,97737,34,2009
514,5,82,11,116502,5,87386,41,2005
515,6,83,4,66764,0,99347,46,2012
516,5,92,14,103985,4,98478,47,2005
517,5,49,25,98732,6,88756,40,2006
518,5,74,10,126274,2,96875,47,2004
519,6,78,4,106195,0,100735,35,2010
520,6,49,9,105720,1,86781,47,2007
521,5,44,29,69154,7,94472,48,2009
522,4,26,13,103395,4,111388,40,2007
523,6,85,2,124022,6,116008,41,2004
524,6,49,5,62116,3,97225,54,2010
525,6,69,5,105755,5,109012,40,2005
526,5,53,8,114734,1,70768,61,2012
527,4,11,67,134552,0,79092,54,2008
528,6,55,10,117957,6,107978,50,2006
529,6,39,14,63230,3,93590,62,2004
530,4,18,34,124386,6,60079,38,2008
531,4,63,22,137264,1,95136,32,2009
532,4,23,181,169931,0,65534,40,2010
533,5,55,13,103869,0,80677,34,2011
534,4,36,24,112436,4,115585,51,2012
535,6,43,8,69158,0,91653,47,2006
536,4,59,2,78595,5,88924,46,2010
537,5,69,4,98267,6,95535,35,2012
538,4,77,27,149556,7,68530,36,2011
539,6,75,21,113205,3,136426,30,2008
540,5,89,14,98446,15,99856,53,2005
541,5,51,1,71594,2,94032,47,2011
542,5,15,65,84976,4,186468,49,2007
543,6,51,10,121900,1,86144,50,2006
544,6,63,13,84110,6,146263,43,2005
545,5,67,3,114895,4,91186,39,2005
546,4,35,58,102698,2,98090,37,2005
547,4,31,3,112940,3,83850,36,2009
548,5,63,4,131617,0,73089,48,2011
549,6,95,1,112565,3,98435,34,2007
550,5,97,13,111809,2,98939,42,2005
551,5,67,9,124788,0,86281,54,2007
552,6,101,2,119673,3,101850,40,2005
553,5,60,21,131743,4,84979,47,2010
554,4,12,38,121632,0,68332,40,2011
555,5,48,3,63061,3,83537,54,2010
556,6,52,3,62006,3,99664,55,2011
557,6,11,9,80261,1,100443,61,2009
558,5,92,2,108930,6,109979,44,2006
559,5,67,1,116848,1,81736,43,2006
560,6,47,6,68720,6,92398,57,2006
561,4,109,46,144111,5,83170,43,2006
562,5,82,12,135759,4,77193,48,2006
563,6,68,21,107075,4,106925,35,2006
564,6,79,16,113061,6,94615,45,2012
565,5,74,11,119277,6,82133,40,2012
566,4,31,113,59830,3,84454,40,2006
567,5,34,8,87326,0,128256,48,2012
568,5,74,3,126760,4,85451,39,2007
569,6,7,7,85624,0,101194,61,2012
570,4,36,93,118329,3,62317,54,2009
571,6,43,9,71368,4,94678,48,2012
572,6,106,36,128750,7,85098,34,2009
573,6,89,3,106167,0,91456,53,2008
574,4,62,104,89752,2,86358,54,2010
575,5,36,11,63184,0,84669,56,2009
576,5,51,12,118422,0,82553,55,2012
577,5,69,5,119146,4,80026,45,2006
578,5,84,1,90564,3,93153,45,2005
579,5,68,5,109665,2,82659,45,2005
580,4,20,3,113068,0,78582,68,2007
581,6,27,89,106399,1,168458,37,2011
582,4,64,2,114718,1,84859,49,2007
583,5,113,7,147384,5,103861,42,2005
584,6,40,2,60149,3,84126,61,2007
585,5,80,2,138420,3,84105,40,2006
586,5,53,41,113194,1,98920,49,2008
587,6,109,1,123276,2,75280,57,2009
588,5,70,4,112890,1,95565,35,2010
589,6,35,9,62808,0,84253,41,2009
590,6,34,29,65969,0,88211,51,2011
591,5,88,27,110192,3,212792,33,2009
592,5,101,10,104916,7,109822,36,2009
593,4,44,15,123585,8,64174,43,2007
594,6,57,1,124821,0,65164,47,2007
595,6,43,11,70258,4,120965,39,2010
596,5,57,4,101773,5,75853,53,2010
597,5,82,11,121881,7,80251,42,2007
598,4,69,23,94964,5,90062,38,2009
599,5,63,44,102801,1,91921,43,2010
600,5,12,230,84488,0,89175,35,2012
601,5,69,17,99590,1,100125,46,2010
602,6,88,4,92775,0,94601,41,2007
603,5,59,3,133334,2,61160,51,2012
604,5,40,10,133403,7,75546,42,2006
605,4,13,86,113580,1,68776,54,2008
606,6,68,11,119701,2,79794,43,2005
607,5,69,3,119959,2,81026,47,2010
608,5,38,4,63749,4,100772,39,2012
609,5,97,18,95578,5,90497,34,2006
610,4,13,34,96745,7,89158,66,2005
611,4,84,3,124877,3,77247,39,2010
612,6,33,79,60566,0,85646,61,2008
613,6,61,25,129994,0,80714,50,2007
614,6,87,17,114443,6,89995,50,2007
615,4,17,13,105518,5,86730,57,2008
616,5,62,3,104351,2,82506,54,2006
617,5,79,2,102926,0,82252,48,2007
618,5,58,85,94188,0,81902,47,2008
619,4,26,48,126699,1,54198,48,2007
620,5,82,2,120396,0,69073,42,2011
621,6,94,7,110837,8,138707,42,2006
622,4,43,15,88958,0,79467,50,2012
623,5,49,9,82626,0,82102,64,2005
624,5,32,11,87009,3,135820,58,2007
625,5,82,4,119037,4,85382,35,2011
626,5,62,22,101808,7,89527,33,2010
627,6,67,18,95683,0,83899,65,2012
628,6,81,30,103927,7,122622,39,2009
629,6,86,7,105952,5,90686,42,2005
630,4,6,102,73392,0,108171,55,2007
631,5,9,69,91224,0,92059,41,2010
632,6,63,4,102466,3,92593,38,2009
633,4,38,66,124410,3,70001,49,2004
634,6,40,2,63801,2,84043,54,2010
635,6,73,9,120191,3,80860,45,2005
636,6,71,15,107032,5,94798,44,2007
637,6,74,1,86299,4,89831,35,2009
638,4,45,103,83894,1,77155,45,2012
639,6,127,1,131400,14,101599,40,2008
640,5,86,4,130146,0,68847,55,2007
641,5,58,29,114424,3,82077,38,2009
642,6,69,3,101139,0,85016,46,2011
643,5,38,43,78846,0,73549,37,2006
644,6,78,19,115093,2,86959,38,2008
645,4,16,68,96627,2,92059,66,2005
646,4,37,163,58302,0,92543,56,2007
647,5,76,5,116724,8,133497,50,2007
648,5,44,2,67601,5,82323,42,2009
649,6,99,3,87395,8,133546,42,2005
650,6,51,14,61100,0,83425,58,2012
651,6,66,5,114482,4,88321,47,2008
652,6,77,5,94084,6,88772,48,2006
653,6,106,2,104750,2,80328,48,2007
654,5,94,1,130742,6,71836,27,2012
655,6,89,27,109773,3,91787,34,2011
656,4,11,37,101908,0,69482,72,2012
657,4,19,17,114608,0,61541,50,2008
658,6,57,7,87522,0,75053,62,2011
